FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.058228	0.163666	0.130066
0.051086	0.152618	0.115082
0.044434	0.142181	0.115082
0.038177	0.131134	0.100769
0.032410	0.121643	0.093445
0.027100	0.110901	0.089630
0.022247	0.102386	0.081665
0.017853	0.094177	0.078796
0.013947	0.085327	0.067963
0.010529	0.077728	0.068604
0.007568	0.069824	0.063507
0.005096	0.063202	0.056183
0.003113	0.056244	0.053009
0.001617	0.049927	0.049500
0.000610	0.043610	0.043457
0.000092	0.038239	0.042480
0.000061	0.033508	0.040588
0.000519	0.029083	0.042175
0.001465	0.024017	0.031647
0.002899	0.020874	0.027527
0.004822	0.018005	0.027527
0.007233	0.015167	0.025604
0.010132	0.012634	0.022095
0.013519	0.011383	0.015106
0.017365	0.009796	0.023712
0.021698	0.009155	0.019562
0.026489	0.008850	0.017334
0.031769	0.009155	0.016388
0.037476	0.010742	0.019226
0.043671	0.011688	0.020844
0.050293	0.012970	0.024963
0.057343	0.014862	0.025940
0.064850	0.017700	0.026886
0.072754	0.020874	0.035156
0.081116	0.024963	0.032928
0.089874	0.029083	0.033569
0.099030	0.033173	0.041840
0.108582	0.037598	0.040894
0.118500	0.042664	0.045349
0.128815	0.048676	0.046295
0.139465	0.055603	0.054901
0.150513	0.061615	0.056824
0.161865	0.069214	0.065735
0.173584	0.076782	0.065430
0.185577	0.084381	0.075287
0.197906	0.092590	0.078796
0.210541	0.101440	0.085175
0.223450	0.110901	0.091858
0.236633	0.120697	0.097565
0.250061	0.129852	0.106506
0.263733	0.140625	0.116058
0.277649	0.151031	0.118286
0.291779	0.162109	0.125916
0.306122	0.174103	0.134216
0.320648	0.185150	0.144379
0.335327	0.197174	0.153320
0.350189	0.209808	0.162537
0.365204	0.221191	0.166992
0.380341	0.235077	0.170502
0.395599	0.247711	0.188660
0.410950	0.260681	0.193756
0.426422	0.274902	0.209351
0.441925	0.288788	0.215088
0.457520	0.303009	0.221771
0.473114	0.316925	0.233551
0.488770	0.330505	0.244720
0.504425	0.345032	0.258392
0.520081	0.360840	0.266693
0.535706	0.375702	0.276855
0.551300	0.390228	0.288666
0.566833	0.405396	0.292786
0.582306	0.420227	0.307129
0.597717	0.435730	0.317322
0.613007	0.450897	0.326538
0.628204	0.465729	0.334198
0.643280	0.481537	0.348846
0.658203	0.496399	0.357452
0.672974	0.512512	0.361267
0.687561	0.527679	0.373047
0.701996	0.543152	0.383881
0.716187	0.558319	0.400757
0.730194	0.574127	0.408081
0.743988	0.588959	0.418274
0.757538	0.604126	0.431000
0.770813	0.618988	0.438019
0.783844	0.633209	0.445343
0.796570	0.648987	0.457764
0.809052	0.662903	0.473053
0.821198	0.676788	0.483551
0.833038	0.690704	0.492798
0.844543	0.704285	0.502014
0.855713	0.718201	0.513153
0.866516	0.732086	0.521454
0.876984	0.745361	0.527802
0.887085	0.758636	0.537354
0.896820	0.771912	0.543091
0.906128	0.784241	0.551697
0.915070	0.796539	0.556793
0.923584	0.809204	0.569214
0.931702	0.821198	0.576233
0.939362	0.832245	0.582275
0.946625	0.844269	0.594055
0.953430	0.855011	0.600098
0.959808	0.866058	0.607758
0.965729	0.876160	0.615723
0.971191	0.885345	0.623993
0.976196	0.894806	0.632263
0.980743	0.904297	0.636414
0.984802	0.912506	0.640533
0.988403	0.921051	0.648193
0.991516	0.928314	0.646912
0.994141	0.935577	0.657440
0.996277	0.942200	0.662842
0.997955	0.948517	0.668579
0.999115	0.954865	0.669220
0.999817	0.960236	0.677795
1.000000	0.965607	0.676544
0.999695	0.970001	0.680359
0.998932	0.973816	0.675903
0.997650	0.977600	0.683228
0.995880	0.981079	0.683533
0.993622	0.984222	0.688629
0.990906	0.986145	0.690552
0.987701	0.987396	0.691833
0.984009	0.988983	0.693085
0.979858	0.989594	0.691193
0.975220	0.990234	0.692780
0.970123	0.990540	0.695007
0.964569	0.990234	0.691498
0.958557	0.988647	0.689575
0.952087	0.986755	0.691193
0.945190	0.985168	0.694672
0.937836	0.983276	0.688629
0.930084	0.981079	0.685455
0.921875	0.976654	0.686737
0.913269	0.973480	0.681946
0.904266	0.968445	0.676208
0.894867	0.964020	0.673981
0.885071	0.958649	0.676544
0.874908	0.953583	0.667603
0.864380	0.947571	0.665070
0.853485	0.941254	0.656158
0.842255	0.933685	0.655518
0.830688	0.926086	0.647858
0.818787	0.918213	0.646606
0.806580	0.910309	0.640533
0.794067	0.901123	0.630035
0.781281	0.891968	0.623993
0.768219	0.882812	0.615387
0.754883	0.872375	0.614441
0.741302	0.861969	0.607422
0.727478	0.851532	0.598816
0.713440	0.841095	0.588318
0.699188	0.829407	0.586731
0.684723	0.817413	0.575592
0.670105	0.806030	0.566345
0.655334	0.793701	0.559967
0.640381	0.780762	0.550110
0.625305	0.767792	0.539917
0.610107	0.755798	0.530365
0.594788	0.741882	0.525574
0.579376	0.729248	0.514130
0.563904	0.715027	0.502350
0.548340	0.701447	0.496613
0.532776	0.687531	0.485474
0.517151	0.673645	0.472076
0.501495	0.660065	0.466339
0.485870	0.644562	0.448822
0.470245	0.630341	0.442139
0.454651	0.615509	0.430695
0.439087	0.600647	0.426544
0.423584	0.585480	0.412842
0.408173	0.569702	0.403931
0.392853	0.554199	0.395660
0.377625	0.538422	0.382294
0.362518	0.522919	0.374634
0.347565	0.507141	0.359039
0.332733	0.492584	0.355225
0.318085	0.477417	0.341827
0.303589	0.461639	0.334198
0.289307	0.446472	0.315735
0.275238	0.430969	0.311890
0.261383	0.415802	0.296600
0.247742	0.400024	0.290558
