FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	-0.007629	93.883514
0.000000	-0.007629	93.787384
0.000000	-0.007629	93.708038
0.000000	0.000000	93.747711
0.000000	0.007629	93.692017
0.000000	0.000000	93.803406
0.000000	0.000000	93.795776
0.000000	-0.016022	93.724060
0.000000	-0.016022	93.636322
0.000000	-0.016022	93.524933
0.000000	-0.007629	93.700409
0.000000	0.000000	93.787384
0.000000	0.007629	93.763733
0.000000	0.000000	93.596649
0.000000	-0.007629	93.636322
0.000000	-0.007629	93.700409
0.000000	-0.007629	93.724060
0.000000	-0.007629	93.659973
0.000000	-0.016022	93.819427
0.000000	0.000000	94.018555
0.000000	0.000000	93.962860
0.000000	0.023651	93.891144
0.000000	0.000000	93.923187
0.000000	-0.007629	93.819427
0.000000	-0.007629	93.875122
0.000000	0.000000	93.700409
0.000000	0.000000	93.803406
0.000000	0.000000	93.716431
0.000000	0.000000	93.867493
0.000000	0.007629	93.747711
0.000000	-0.016022	93.923187
0.000000	-0.007629	94.066620
0.000000	-0.016022	94.026947
0.000000	-0.016022	93.835449
0.000000	-0.007629	93.708038
0.000000	0.000000	93.628693
0.000000	-0.007629	93.843842
0.000000	0.007629	93.708038
0.000000	0.000000	93.652344
0.000000	0.000000	93.756104
0.000000	-0.031281	93.978882
0.000000	-0.016022	94.058228
0.000000	-0.007629	94.217682
0.000000	-0.016022	94.129944
0.000000	0.000000	94.265747
0.000000	-0.007629	94.416809
0.000000	0.000000	94.345093
0.000000	-0.007629	94.233704
0.000000	-0.023651	94.201660
0.000000	-0.016022	94.201660
0.000000	-0.016022	94.145966
0.000000	-0.007629	93.971252
0.000000	-0.007629	94.010925
0.000000	0.000000	94.170380
0.000000	0.000000	94.210052
0.000000	0.000000	94.273376
0.000000	0.000000	94.353485
0.000000	-0.023651	94.305420
0.000000	-0.023651	94.066620
0.000000	0.000000	94.138336
0.000000	0.000000	93.994904
0.000000	-0.016022	93.867493
0.000000	-0.007629	93.978882
0.000000	0.007629	94.090271
0.000000	0.007629	93.955231
0.000000	-0.016022	93.851471
0.000000	-0.016022	93.692017
0.000000	-0.016022	93.787384
0.000000	0.000000	93.700409
0.000000	0.007629	93.811798
0.000000	0.007629	93.564606
0.000000	0.000000	93.668365
0.000000	0.007629	93.652344
0.000000	-0.007629	93.556976
0.000000	-0.007629	93.405151
0.000000	-0.007629	93.596649
0.000000	0.000000	93.731689
0.000000	0.007629	93.684387
0.000000	0.007629	93.453217
0.000000	0.000000	93.429565
0.000000	-0.016022	93.349457
0.000000	-0.007629	93.397522
0.000000	0.000000	93.325806
0.000000	-0.016022	93.341827
0.000000	-0.007629	93.421173
0.000000	-0.016022	93.795776
0.000000	0.000000	93.716431
0.000000	0.016022	93.827820
0.000000	-0.007629	93.859100
0.000000	0.007629	93.851471
0.000000	0.000000	93.740082
0.000000	0.000000	93.731689
0.000000	-0.016022	93.684387
0.000000	-0.016022	93.756104
0.000000	0.000000	93.811798
0.000000	0.000000	93.851471
0.000000	0.007629	93.923187
0.000000	-0.007629	93.994904
0.000000	0.000000	94.042969
0.000000	-0.023651	94.042969
0.000000	-0.007629	94.002533
0.000000	-0.016022	93.962860
0.000000	0.000000	93.939209
0.000000	0.007629	93.962860
0.000000	0.016022	94.034576
0.000000	0.007629	93.971252
0.000000	0.007629	93.819427
0.000000	-0.007629	93.787384
0.000000	-0.023651	93.915558
0.000000	0.000000	93.971252
0.000000	0.007629	93.971252
0.000000	-0.007629	94.066620
0.000000	0.000000	94.042969
0.000000	-0.007629	94.002533
0.000000	-0.007629	93.939209
0.000000	-0.031281	93.859100
0.000000	-0.023651	93.875122
0.000000	-0.031281	93.763733
0.000000	-0.016022	93.548584
0.000000	-0.007629	93.421173
0.000000	0.000000	93.437195
0.000000	0.007629	93.469238
0.000000	0.000000	93.564606
0.000000	-0.007629	93.675995
0.000000	-0.016022	93.460846
0.000000	-0.016022	93.532562
0.000000	-0.007629	93.708038
0.000000	0.000000	93.772125
0.000000	0.016022	93.819427
0.000000	0.000000	93.827820
0.000000	0.000000	93.915558
0.000000	0.000000	93.923187
0.000000	0.000000	93.915558
0.000000	-0.007629	93.803406
0.000000	-0.007629	93.891144
0.000000	0.000000	93.978882
0.000000	0.007629	94.210052
0.000000	0.000000	94.138336
0.000000	0.016022	94.138336
0.000000	0.007629	93.915558
0.000000	0.000000	93.756104
0.000000	-0.007629	93.675995
0.000000	-0.016022	93.589020
0.000000	-0.016022	93.492889
0.000000	-0.007629	93.628693
0.000000	0.007629	93.659973
0.000000	0.000000	93.652344
0.000000	0.000000	93.668365
0.000000	-0.016022	93.819427
0.000000	-0.007629	93.731689
0.000000	-0.007629	93.668365
0.000000	0.000000	93.612671
0.000000	0.007629	93.644714
0.000000	0.000000	93.564606
0.000000	0.016022	93.564606
0.000000	-0.007629	93.580627
0.000000	-0.023651	93.659973
0.000000	-0.016022	93.580627
0.000000	-0.016022	93.564606
0.000000	-0.016022	93.421173
0.000000	-0.007629	93.508911
0.000000	-0.007629	93.476868
0.000000	0.007629	93.572998
0.000000	0.000000	93.564606
0.000000	-0.007629	93.620300
0.000000	0.000000	93.445587
0.000000	-0.007629	93.492889
0.000000	-0.007629	93.381500
0.000000	0.000000	93.373871
0.000000	0.016022	93.460846
0.000000	0.016022	93.644714
0.000000	-0.007629	93.756104
0.000000	-0.007629	93.700409
0.000000	0.000000	93.636322
0.000000	-0.016022	93.604279
0.000000	-0.007629	93.460846
0.000000	-0.016022	93.612671
0.000000	0.000000	93.508911
0.000000	0.000000	93.421173
0.000000	0.007629	93.469238
0.000000	0.000000	93.747711
