FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	0.000000	92.688751
0.000000	-0.007629	92.768097
0.000000	-0.007629	92.624664
0.000000	0.000000	92.552948
0.000000	-0.016022	92.545319
0.000000	0.000000	92.584991
0.000000	-0.007629	92.545319
0.000000	0.007629	92.537689
0.000000	-0.007629	92.513275
0.000000	-0.007629	92.425537
0.000000	-0.016022	92.545319
0.000000	-0.007629	92.441559
0.000000	-0.007629	92.353821
0.000000	-0.016022	92.322540
0.000000	-0.016022	92.290497
0.000000	-0.007629	92.385864
0.000000	-0.007629	92.401886
0.000000	0.007629	92.568970
0.000000	0.007629	92.808533
0.000000	-0.007629	92.744446
0.000000	-0.023651	92.760468
0.000000	-0.016022	92.609406
0.000000	0.000000	92.633057
0.000000	0.007629	92.680359
0.000000	0.007629	92.712402
0.000000	0.007629	92.712402
0.000000	-0.007629	92.688751
0.000000	0.000000	92.832184
0.000000	-0.016022	92.768097
0.000000	-0.007629	92.823792
0.000000	-0.016022	92.823792
0.000000	0.007629	92.752075
0.000000	0.000000	92.696381
0.000000	0.000000	92.776489
0.000000	0.016022	92.832184
0.000000	0.007629	92.768097
0.000000	0.000000	92.760468
0.000000	0.000000	92.752075
0.000000	-0.007629	92.505646
0.000000	-0.007629	92.481995
0.000000	0.000000	92.489624
0.000000	0.000000	92.473602
0.000000	0.000000	92.552948
0.000000	-0.007629	92.776489
0.000000	-0.007629	92.680359
0.000000	-0.007629	92.768097
0.000000	-0.007629	92.688751
