FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	0.000000	95.667267
0.000000	-0.023651	95.595551
0.000000	-0.016022	95.603943
0.000000	-0.007629	95.436096
0.000000	0.016022	95.555878
0.000000	0.000000	95.476532
0.000000	0.000000	95.476532
0.000000	-0.023651	95.324707
0.000000	-0.023651	95.460510
0.000000	0.000000	95.595551
0.000000	0.000000	96.073151
0.000000	0.007629	95.986176
0.000000	0.007629	95.914459
0.000000	0.000000	95.778656
0.000000	0.000000	95.874786
0.000000	-0.016022	95.675659
0.000000	-0.007629	95.635223
0.000000	-0.016022	95.261383
0.000000	-0.016022	95.189667
0.000000	0.000000	95.157623
0.000000	0.007629	95.165253
0.000000	0.007629	95.205688
0.000000	0.007629	95.579529
0.000000	-0.007629	95.507812
0.000000	-0.007629	95.349121
0.000000	-0.016022	95.380402
0.000000	-0.016022	95.444489
0.000000	-0.016022	95.404816
0.000000	0.007629	95.380402
0.000000	0.000000	95.189667
0.000000	0.007629	94.823456
0.000000	-0.007629	94.680023
0.000000	-0.007629	94.464874
0.000000	0.000000	94.369507
0.000000	0.000000	94.400787
0.000000	0.000000	94.425201
0.000000	-0.007629	94.384766
0.000000	0.016022	94.313049
0.000000	0.007629	94.313049
0.000000	-0.007629	94.305420
0.000000	0.000000	94.289398
0.000000	-0.007629	94.201660
0.000000	-0.023651	94.369507
0.000000	0.000000	95.030212
0.000000	-0.007629	95.356750
0.000000	0.016022	95.388794
0.000000	0.000000	95.308685
0.000000	0.000000	95.269012
0.000000	0.000000	95.245361
0.000000	0.000000	95.412445
0.000000	-0.023651	95.460510
0.000000	-0.007629	95.523834
0.000000	0.000000	95.420074
0.000000	0.016022	95.308685
0.000000	-0.007629	95.364380
0.000000	-0.007629	95.396423
0.000000	0.007629	95.444489
0.000000	0.000000	95.476532
0.000000	-0.007629	95.587921
0.000000	-0.016022	95.651245
0.000000	-0.016022	95.595551
0.000000	0.007629	95.611572
0.000000	0.000000	95.460510
0.000000	0.016022	95.595551
0.000000	-0.007629	95.690918
0.000000	0.007629	95.722961
0.000000	-0.016022	95.738983
0.000000	-0.007629	95.922089
0.000000	0.000000	95.683289
0.000000	0.000000	95.643616
0.000000	0.000000	95.603943
0.000000	0.000000	95.555878
0.000000	-0.007629	95.706940
0.000000	-0.007629	96.224976
0.000000	-0.016022	96.153259
0.000000	0.000000	96.328735
0.000000	-0.007629	96.431732
0.000000	-0.016022	96.352386
0.000000	0.007629	96.201324
0.000000	0.000000	96.041870
0.000000	0.007629	95.866394
0.000000	-0.016022	95.555878
0.000000	-0.016022	95.532227
0.000000	-0.007629	95.715332
0.000000	-0.007629	95.690918
0.000000	-0.007629	95.731354
0.000000	0.000000	95.755005
0.000000	0.016022	95.587921
0.000000	0.007629	95.292664
0.000000	0.000000	95.388794
0.000000	0.000000	95.436096
0.000000	-0.007629	95.555878
0.000000	0.000000	95.412445
0.000000	0.000000	95.428467
0.000000	-0.007629	95.460510
0.000000	-0.007629	95.690918
0.000000	0.007629	95.571899
0.000000	0.000000	95.476532
0.000000	0.007629	95.667267
0.000000	-0.007629	95.706940
0.000000	-0.016022	95.722961
0.000000	-0.007629	95.731354
0.000000	0.000000	95.627594
0.000000	0.000000	95.627594
0.000000	0.016022	95.587921
0.000000	0.000000	95.627594
0.000000	-0.007629	95.818329
0.000000	0.000000	95.722961
0.000000	-0.016022	95.579529
